Cancer,signal_id,Meta-analysis,original_rows,original_probability_total
BsC,EAS:10_10:cs1,EAS,1,1.0
BsC,EAS:10_10:cs2,EAS,1,0.999999893
BsC,EAS:10_11:cs1,EAS,1,1.0
BsC,EAS:10_11:cs2,EAS,1,1.0
BsC,EAS:10_12:cs1,EAS,1,1.0
BsC,EAS:10_12:cs2,EAS,1,1.0
BsC,EAS:10_12:cs5,EAS,1,1.0
BsC,EAS:10_12:cs6,EAS,1,1.0
BsC,EAS:10_12:cs7,EAS,1,1.0
BsC,EAS:11_13:cs1,EAS,1,1.0
BsC,EAS:11_13:cs2,EAS,1,1.0
BsC,EAS:12_14:cs1,EAS,1,1.0
BsC,EAS:12_14:cs2,EAS,1,1.0
BsC,EAS:12_15:cs1,EAS,1,1.0
BsC,EAS:12_15:cs2,EAS,1,1.0
BsC,EAS:12_15:cs4,EAS,1,1.0
BsC,EAS:12_15:cs5,EAS,1,1.0
BsC,EAS:12_15:cs7,EAS,1,1.0
BsC,EAS:16_16:cs1,EAS,1,1.0
BsC,EAS:16_16:cs2,EAS,1,1.0
BsC,EAS:22_17:cs1,EAS,1,1.0
BsC,EAS:22_17:cs2,EAS,1,1.0
BsC,EAS:22_17:cs3,EAS,1,1.0
BsC,EAS:22_17:cs4,EAS,1,1.0
BsC,EAS:22_17:cs5,EAS,1,1.0
BsC,EAS:22_17:cs6,EAS,1,0.999999956
BsC,EAS:3_1:cs1,EAS,1,1.0
BsC,EAS:3_1:cs2,EAS,2,1.0
BsC,EAS:5_2:cs1,EAS,1,1.0
BsC,EAS:5_2:cs2,EAS,1,1.0
BsC,EAS:5_3:cs1,EAS,1,0.997270304
BsC,EAS:5_3:cs2,EAS,2,1.0
BsC,EAS:5_4:cs1,EAS,1,0.999753722
BsC,EAS:5_4:cs2,EAS,1,0.999881613
BsC,EAS:5_5:cs1,EAS,2,1.0
BsC,EAS:5_5:cs2,EAS,1,1.0
BsC,EAS:6_6:cs1,EAS,3,0.999999999
BsC,EAS:6_6:cs2,EAS,3,0.9999837930000001
BsC,EAS:6_7:cs1,EAS,1,1.0
BsC,EAS:6_7:cs2,EAS,1,1.0
BsC,EAS:8_8:cs1,EAS,1,0.999990352
BsC,EAS:8_8:cs2,EAS,1,1.0
BsC,EAS:9_9:cs1,EAS,1,0.995572465
BsC,EAS:9_9:cs2,EAS,1,1.0
BsC,EUR:10_12:cs1,EUR,1,1.0
BsC,EUR:10_12:cs2,EUR,1,1.0
BsC,EUR:10_13:cs1,EUR,1,1.0
BsC,EUR:10_13:cs2,EUR,1,1.0
BsC,EUR:10_13:cs3,EUR,1,1.0
BsC,EUR:10_13:cs4,EUR,1,1.0
BsC,EUR:10_13:cs5,EUR,1,1.0
BsC,EUR:10_13:cs6,EUR,1,1.0
BsC,EUR:11_14:cs1,EUR,1,1.0
BsC,EUR:11_14:cs2,EUR,1,1.0
BsC,EUR:12_15:cs1,EUR,1,1.0
BsC,EUR:12_15:cs2,EUR,1,1.0
BsC,EUR:16_16:cs1,EUR,1,1.0
BsC,EUR:16_16:cs2,EUR,1,1.0
BsC,EUR:16_16:cs7,EUR,1,1.0
BsC,EUR:16_16:cs8,EUR,1,1.0
BsC,EUR:16_16:cs9,EUR,3,0.999999999
BsC,EUR:16_17:cs1,EUR,1,1.0
BsC,EUR:16_17:cs2,EUR,1,1.0
BsC,EUR:16_17:cs9,EUR,1,1.0
BsC,EUR:1_1:cs1,EUR,3,0.999999999
BsC,EUR:1_1:cs2,EUR,1,1.0
BsC,EUR:1_2:cs1,EUR,1,1.0
BsC,EUR:1_2:cs2,EUR,1,1.0
BsC,EUR:22_18:cs1,EUR,1,1.0
BsC,EUR:22_18:cs2,EUR,1,1.0
BsC,EUR:22_19:cs1,EUR,6,1.000000002
BsC,EUR:22_19:cs2,EUR,5,1.0
BsC,EUR:2_3:cs1,EUR,1,1.0
BsC,EUR:2_3:cs2,EUR,1,1.0
BsC,EUR:3_4:cs1,EUR,3,0.999999999
BsC,EUR:3_4:cs2,EUR,1,1.0
BsC,EUR:3_5:cs1,EUR,1,1.0
BsC,EUR:3_5:cs2,EUR,1,1.0
BsC,EUR:5_6:cs1,EUR,2,1.0
BsC,EUR:5_6:cs2,EUR,2,1.0
BsC,EUR:5_7:cs1,EUR,2,1.0
BsC,EUR:5_7:cs2,EUR,1,1.0
BsC,EUR:6_8:cs1,EUR,1,1.0
BsC,EUR:6_8:cs2,EUR,2,1.0
BsC,EUR:8_9:cs1,EUR,1,1.0
BsC,EUR:8_9:cs10,EUR,1,1.0
BsC,EUR:8_9:cs2,EUR,1,1.0
BsC,EUR:8_9:cs3,EUR,1,1.0
BsC,EUR:8_9:cs8,EUR,1,1.0
BsC,EUR:8_9:cs9,EUR,1,1.0
BsC,EUR:9_10:cs1,EUR,1,1.0
BsC,EUR:9_10:cs10,EUR,1,1.0
BsC,EUR:9_10:cs2,EUR,2,1.0
BsC,EUR:9_10:cs3,EUR,1,1.0
BsC,EUR:9_10:cs4,EUR,1,1.0
BsC,EUR:9_10:cs5,EUR,3,0.999999999
BsC,EUR:9_10:cs6,EUR,1,1.0
BsC,EUR:9_11:cs1,EUR,1,1.0
BsC,EUR:9_11:cs2,EUR,2,1.0
PrC,EAS:10_23:cs1,EAS,1,1.0
PrC,EAS:10_23:cs2,EAS,2,1.0
PrC,EAS:10_24:cs1,EAS,1,1.0
PrC,EAS:10_24:cs2,EAS,1,1.0
PrC,EAS:10_25:cs1,EAS,2,1.0
PrC,EAS:10_25:cs2,EAS,1,1.0
PrC,EAS:11_26:cs1,EAS,1,1.0
PrC,EAS:11_26:cs2,EAS,1,1.0
PrC,EAS:11_27:cs1,EAS,1,1.0
PrC,EAS:11_27:cs2,EAS,1,1.0
PrC,EAS:12_28:cs1,EAS,1,1.0
PrC,EAS:12_28:cs2,EAS,1,1.0
PrC,EAS:12_28:cs3,EAS,2,1.0
PrC,EAS:12_28:cs4,EAS,1,1.0
PrC,EAS:12_29:cs1,EAS,1,1.0
PrC,EAS:12_29:cs2,EAS,1,1.0
PrC,EAS:13_30:cs1,EAS,1,1.0
PrC,EAS:13_30:cs2,EAS,1,1.0
PrC,EAS:14_31:cs1,EAS,1,0.995466435
PrC,EAS:14_31:cs2,EAS,1,0.999999913
PrC,EAS:14_32:cs1,EAS,1,1.0
PrC,EAS:14_32:cs2,EAS,1,1.0
PrC,EAS:17_33:cs1,EAS,1,0.999988456
PrC,EAS:17_33:cs2,EAS,1,0.999994563
PrC,EAS:19_34:cs1,EAS,1,1.0
PrC,EAS:19_34:cs2,EAS,1,1.0
PrC,EAS:19_35:cs1,EAS,1,1.0
PrC,EAS:19_35:cs2,EAS,1,1.0
PrC,EAS:19_35:cs5,EAS,1,1.0
PrC,EAS:1_1:cs1,EAS,1,0.999193798
PrC,EAS:1_1:cs2,EAS,1,1.0
PrC,EAS:20_36:cs1,EAS,1,1.0
PrC,EAS:20_36:cs2,EAS,1,1.0
PrC,EAS:22_37:cs1,EAS,1,0.993306466
PrC,EAS:22_37:cs2,EAS,1,0.993511873
PrC,EAS:2_2:cs1,EAS,1,0.991061291
PrC,EAS:2_2:cs2,EAS,1,1.0
PrC,EAS:2_2:cs5,EAS,1,1.0
PrC,EAS:2_2:cs6,EAS,1,0.997983681
PrC,EAS:2_3:cs1,EAS,1,1.0
PrC,EAS:2_3:cs2,EAS,1,1.0
PrC,EAS:2_4:cs1,EAS,1,1.0
PrC,EAS:2_4:cs2,EAS,2,1.0
PrC,EAS:2_5:cs1,EAS,1,1.0
PrC,EAS:2_5:cs2,EAS,1,1.0
PrC,EAS:2_6:cs1,EAS,1,1.0
PrC,EAS:2_6:cs2,EAS,1,0.999999994
PrC,EAS:2_6:cs5,EAS,1,1.0
PrC,EAS:2_6:cs6,EAS,1,1.0
PrC,EAS:2_6:cs7,EAS,1,1.0
PrC,EAS:3_7:cs1,EAS,3,0.999999987
PrC,EAS:3_7:cs2,EAS,4,0.999951548
PrC,EAS:3_8:cs1,EAS,1,0.999998717
PrC,EAS:3_8:cs2,EAS,1,1.0
PrC,EAS:3_9:cs1,EAS,1,1.0
PrC,EAS:3_9:cs2,EAS,1,1.0
PrC,EAS:3_9:cs9,EAS,1,1.0
PrC,EAS:4_10:cs1,EAS,1,0.981637319
PrC,EAS:4_10:cs2,EAS,1,0.999999998
PrC,EAS:5_11:cs1,EAS,1,1.0
PrC,EAS:5_11:cs2,EAS,1,1.0
PrC,EAS:5_11:cs3,EAS,1,1.0
PrC,EAS:5_11:cs5,EAS,1,1.0
PrC,EAS:5_11:cs6,EAS,1,1.0
PrC,EAS:5_11:cs8,EAS,1,1.0
PrC,EAS:5_11:cs9,EAS,1,1.0
PrC,EAS:5_12:cs1,EAS,2,1.0
PrC,EAS:5_12:cs2,EAS,1,1.0
PrC,EAS:6_13:cs1,EAS,1,1.0
PrC,EAS:6_13:cs2,EAS,1,1.0
PrC,EAS:6_14:cs1,EAS,1,1.0
PrC,EAS:6_14:cs2,EAS,1,1.0
PrC,EAS:6_15:cs1,EAS,1,1.0
PrC,EAS:6_15:cs2,EAS,1,1.0
PrC,EAS:6_16:cs1,EAS,1,1.0
PrC,EAS:6_16:cs2,EAS,1,1.0
PrC,EAS:6_17:cs1,EAS,1,1.0
PrC,EAS:6_17:cs2,EAS,1,1.0
PrC,EAS:6_17:cs6,EAS,1,1.0
PrC,EAS:6_17:cs7,EAS,1,1.0
PrC,EAS:6_17:cs8,EAS,1,1.0
PrC,EAS:6_17:cs9,EAS,1,1.0
PrC,EAS:6_18:cs1,EAS,1,1.0
PrC,EAS:6_18:cs2,EAS,1,1.0
PrC,EAS:7_19:cs1,EAS,1,1.0
PrC,EAS:7_19:cs2,EAS,1,1.0
PrC,EAS:8_20:cs1,EAS,1,1.0
PrC,EAS:8_20:cs10,EAS,1,1.0
PrC,EAS:8_20:cs2,EAS,1,1.0
PrC,EAS:8_20:cs3,EAS,1,1.0
PrC,EAS:8_20:cs5,EAS,1,1.0
PrC,EAS:8_20:cs8,EAS,1,1.0
PrC,EAS:8_20:cs9,EAS,1,1.0
PrC,EAS:8_21:cs1,EAS,1,1.0
PrC,EAS:8_21:cs2,EAS,1,1.0
PrC,EAS:9_22:cs1,EAS,2,0.99987601
PrC,EAS:9_22:cs2,EAS,1,1.0
PrC,EUR:11_8:cs1,EUR,1,1.0
PrC,EUR:11_8:cs2,EUR,1,1.0
PrC,EUR:11_9:cs1,EUR,4,1.0
PrC,EUR:11_9:cs2,EUR,6,1.000000002
PrC,EUR:12_10:cs1,EUR,1,1.0
PrC,EUR:12_10:cs2,EUR,1,1.0
PrC,EUR:12_11:cs1,EUR,1,1.0
PrC,EUR:12_11:cs2,EUR,1,0.999991818
PrC,EUR:12_11:cs3,EUR,1,1.0
PrC,EUR:12_11:cs4,EUR,2,1.0
PrC,EUR:17_12:cs1,EUR,1,1.0
PrC,EUR:17_12:cs2,EUR,1,1.0
PrC,EUR:17_13:cs1,EUR,1,1.0
PrC,EUR:17_13:cs2,EUR,1,1.0
PrC,EUR:19_14:cs1,EUR,1,1.0
PrC,EUR:19_14:cs2,EUR,1,1.0
PrC,EUR:19_14:cs6,EUR,1,1.0
PrC,EUR:22_15:cs1,EUR,2,1.0
PrC,EUR:22_15:cs2,EUR,1,1.0
PrC,EUR:2_1:cs1,EUR,1,1.0
PrC,EUR:2_1:cs2,EUR,1,1.0
PrC,EUR:2_2:cs1,EUR,1,1.0
PrC,EUR:2_2:cs2,EUR,1,1.0
PrC,EUR:2_2:cs3,EUR,1,1.0
PrC,EUR:2_2:cs8,EUR,1,1.0
PrC,EUR:2_3:cs1,EUR,13,1.000000001
PrC,EUR:2_3:cs2,EUR,9,0.999999999
PrC,EUR:3_4:cs1,EUR,1,1.0
PrC,EUR:3_4:cs2,EUR,1,1.0
PrC,EUR:6_5:cs1,EUR,6,1.000000002
PrC,EUR:6_5:cs2,EUR,11,1.000000001
PrC,EUR:7_6:cs1,EUR,1,1.0
PrC,EUR:7_6:cs2,EUR,1,1.0
PrC,EUR:8_7:cs1,EUR,1,1.0
PrC,EUR:8_7:cs2,EUR,1,1.0
PrC,EUR:8_7:cs3,EUR,1,1.0
ThC,EAS:10_8:cs1,EAS,1,1.0
ThC,EAS:10_8:cs2,EAS,1,1.0
ThC,EAS:11_9:cs1,EAS,1,1.0
ThC,EAS:11_9:cs2,EAS,1,1.0
ThC,EAS:12_10:cs1,EAS,1,1.0
ThC,EAS:12_10:cs2,EAS,1,1.0
ThC,EAS:13_11:cs1,EAS,1,1.0
ThC,EAS:13_11:cs2,EAS,1,1.0
ThC,EAS:14_12:cs1,EAS,1,1.0
ThC,EAS:14_12:cs2,EAS,1,1.0
ThC,EAS:15_13:cs1,EAS,1,1.0
ThC,EAS:15_13:cs2,EAS,1,1.0
ThC,EAS:19_14:cs1,EAS,1,1.0
ThC,EAS:19_14:cs2,EAS,1,1.0
ThC,EAS:1_1:cs1,EAS,1,1.0
ThC,EAS:1_1:cs2,EAS,1,0.999870333
ThC,EAS:1_2:cs1,EAS,1,1.0
ThC,EAS:1_2:cs2,EAS,1,1.0
ThC,EAS:2_3:cs1,EAS,1,1.0
ThC,EAS:2_3:cs2,EAS,1,1.0
ThC,EAS:3_4:cs1,EAS,1,1.0
ThC,EAS:3_4:cs2,EAS,1,1.0
ThC,EAS:5_5:cs1,EAS,1,1.0
ThC,EAS:5_5:cs2,EAS,1,1.0
ThC,EAS:8_6:cs1,EAS,2,1.0
ThC,EAS:8_6:cs2,EAS,1,1.0
ThC,EAS:9_7:cs1,EAS,1,1.0
ThC,EAS:9_7:cs2,EAS,1,1.0
ThC,EUR:9_1:cs1,EUR,6,1.000000002
ThC,EUR:9_1:cs2,EUR,3,0.999999999
